HMS;Lat;Long;Pression;TempC;RLux;GLux;BLux;XMagneto;YMagneto;ZMagneto;TempCPU;Delta(s);TStamp;ExpTime;AnG;DiG;Lux;RedG;BlueG;Bright
18h20m38s;48.35934;-4.55744;1035.2;11.9;;;;;;;74.35;0.0;2266757123000;29315;1.5;1.0;120.2;0.7;1.5;0.0
18h20m39s;48.35934;-4.55744;1035.8;11.9;;;;;;;74.90;1.1;2267798760000;25123;1.5;1.0;148.4;0.7;1.5;0.0
18h20m40s;48.35933;-4.55744;1035.4;11.9;;;;;;;74.90;2.1;2268840397000;24177;1.5;1.0;152.7;0.7;1.5;0.0
18h20m41s;48.35933;-4.55744;1035.6;11.9;;;;;;;76.55;3.1;2269882032000;23966;1.5;1.0;150.0;0.7;1.5;0.0
18h20m43s;48.35932;-4.55743;1035.4;11.9;;;;;;;76.55;4.2;2270923670000;23966;1.5;1.0;149.8;0.7;1.5;0.0
18h20m44s;48.35932;-4.55743;1035.9;12.0;;;;;;;76.00;5.2;2271965308000;23966;1.5;1.0;149.7;0.7;1.5;0.0
18h20m45s;48.35932;-4.55743;1035.9;12.0;;;;;;;77.10;6.3;2273006945000;23966;1.5;1.0;149.3;0.7;1.5;0.0
18h20m46s;48.35932;-4.55743;1035.7;12.0;;;;;;;77.65;7.3;2274090247000;23966;1.5;1.0;149.0;0.7;1.5;0.0
18h20m47s;48.35932;-4.55743;1035.7;12.0;;;;;;;78.20;8.4;2275131885000;23966;1.5;1.0;150.2;0.7;1.5;0.0
18h20m48s;48.35932;-4.55743;1035.6;12.0;;;;;;;75.45;9.4;2276173523000;23966;1.5;1.0;146.1;0.7;1.5;0.0
18h20m48s;48.35932;-4.55743;1035.4;12.0;;;;;;;77.10;10.0;2276756841000;23966;1.5;1.0;120.2;1.1;1.6;0.0
18h20m49s;48.35932;-4.55742;1035.4;12.0;;;;;;;78.20;11.1;2277798478000;29992;1.5;1.0;107.9;1.1;1.6;0.0
18h20m50s;48.35931;-4.55742;1035.7;12.0;;;;;;;78.75;12.1;2278840113000;39463;2.0;1.0;100.7;1.1;1.6;0.0
18h20m51s;48.35931;-4.55742;1035.6;12.0;;;;;;;77.10;13.1;2279881752000;29992;1.5;1.0;122.3;1.1;1.6;0.0
18h20m53s;48.35930;-4.55742;1035.0;12.1;;;;;;;77.65;14.2;2280923390000;29696;1.5;1.0;118.1;1.1;1.6;0.0
18h20m54s;48.35930;-4.55741;1035.5;12.1;;;;;;;77.65;15.2;2282006692000;29992;1.6;1.0;101.4;1.1;1.6;0.0
18h20m55s;48.35930;-4.55741;1035.8;12.1;;;;;;;77.10;16.3;2283048328000;29992;1.6;1.0;102.3;1.1;1.6;0.0
18h20m56s;48.35930;-4.55741;1035.3;12.1;;;;;;;77.65;17.3;2284089966000;29992;1.6;1.0;104.0;1.1;1.6;0.0
18h20m57s;48.35930;-4.55741;1035.3;12.1;;;;;;;78.20;18.4;2285131605000;29992;1.6;1.0;99.1;1.1;1.6;0.0
18h20m58s;48.35929;-4.55741;1035.5;12.1;;;;;;;78.20;19.4;2286173240000;29992;1.7;1.0;93.8;1.1;1.6;0.0
18h20m58s;48.35929;-4.55741;1036.0;12.1;;;;;;;77.65;20.0;2286756559000;29992;1.7;1.0;94.8;1.0;1.5;0.0
18h20m59s;48.35929;-4.55742;1035.8;12.1;;;;;;;77.65;21.1;2287798198000;29992;1.7;1.0;93.9;1.0;1.5;0.0
18h21m00s;48.35929;-4.55742;1035.7;12.1;;;;;;;77.65;22.1;2288839834000;29992;1.7;1.0;94.9;1.0;1.5;0.0
18h21m01s;48.35929;-4.55741;1035.5;12.2;;;;;;;77.10;23.1;2289881472000;29992;1.7;1.0;96.0;1.0;1.5;0.0
18h21m03s;48.35928;-4.55741;1035.6;12.2;;;;;;;77.10;24.2;2290923108000;29992;1.7;1.0;96.0;1.0;1.5;0.0
18h21m04s;48.35928;-4.55741;1035.8;12.2;;;;;;;77.65;25.2;2291964747000;29992;1.6;1.0;111.4;1.0;1.5;0.0
18h21m05s;48.35928;-4.55741;1035.5;12.2;;;;;;;76.55;26.3;2293048049000;29752;1.5;1.0;124.2;1.0;1.5;0.0
18h21m06s;48.35928;-4.55741;1035.6;12.2;;;;;;;78.75;27.3;2294089686000;29484;1.5;1.0;125.2;1.0;1.5;0.0
18h21m07s;48.35928;-4.55741;1035.4;12.2;;;;;;;77.10;28.4;2295131323000;29230;1.5;1.0;125.8;1.0;1.5;0.0
18h21m08s;48.35927;-4.55741;1035.7;12.2;;;;;;;78.20;29.4;2296172961000;29230;1.5;1.0;126.4;1.0;1.5;0.0
18h21m08s;48.35927;-4.55741;1035.0;12.2;;;;;;;77.65;29.6;2296297959000;29230;1.5;1.0;126.2;1.0;1.5;0.0
18h21m09s;48.35927;-4.55741;1035.6;12.2;;;;;;;78.20;30.6;2297381261000;29230;1.5;1.0;124.6;1.0;1.5;0.0
18h21m10s;48.35927;-4.55741;1035.4;12.2;;;;;;;76.00;31.7;2298422899000;29230;1.5;1.0;123.6;1.0;1.5;0.0
18h21m11s;48.35927;-4.55741;1036.1;12.2;;;;;;;77.10;32.7;2299464534000;29230;1.5;1.0;123.2;1.0;1.5;0.0
18h21m12s;48.35927;-4.55741;1035.2;12.2;;;;;;;78.20;33.8;2300506176000;29230;1.5;1.0;122.9;1.0;1.5;0.0
18h21m13s;48.35927;-4.55741;1035.3;12.2;;;;;;;76.55;34.8;2301547810000;29230;1.5;1.0;122.7;1.0;1.5;0.0
18h21m14s;48.35926;-4.55741;1035.3;12.2;;;;;;;78.20;35.8;2302589449000;29230;1.5;1.0;122.8;1.0;1.5;0.0
18h21m15s;48.35926;-4.55741;1035.5;12.3;;;;;;;77.10;36.9;2303631088000;29230;1.5;1.0;123.4;1.0;1.5;0.0
18h21m16s;48.35926;-4.55741;1035.7;12.3;;;;;;;77.10;37.9;2304672724000;29230;1.5;1.0;125.1;1.0;1.5;0.0
18h21m17s;48.35926;-4.55741;1035.4;12.3;;;;;;;76.55;39.0;2305714361000;29230;1.5;1.0;123.3;1.0;1.5;0.0
18h21m17s;48.35926;-4.55741;1034.9;12.3;;;;;;;77.10;39.1;2305839358000;29230;1.5;1.0;123.0;1.0;1.5;0.0
18h21m18s;48.35926;-4.55741;1035.4;12.3;;;;;;;78.20;40.2;2306922661000;29230;1.5;1.0;123.3;1.0;1.5;0.0
18h21m20s;48.35925;-4.55742;1035.2;12.3;;;;;;;77.10;41.2;2307964297000;29230;1.5;1.0;123.7;1.0;1.5;0.0
18h21m21s;48.35925;-4.55742;1035.7;12.3;;;;;;;77.10;42.3;2309005934000;29230;1.5;1.0;124.3;1.0;1.5;0.0
18h21m22s;48.35924;-4.55742;1035.0;12.3;;;;;;;78.20;43.3;2310047572000;29230;1.5;1.0;124.1;1.0;1.5;0.0
18h21m23s;48.35924;-4.55742;1035.2;12.3;;;;;;;78.75;44.3;2311089209000;29230;1.5;1.0;123.2;1.0;1.5;0.0
18h21m24s;48.35924;-4.55742;1035.8;12.3;;;;;;;78.20;45.4;2312130846000;29230;1.5;1.0;123.5;1.0;1.5;0.0
18h21m25s;48.35924;-4.55742;1035.4;12.3;;;;;;;78.75;46.4;2313172484000;29230;1.5;1.0;123.1;1.0;1.5;0.0
18h21m26s;48.35924;-4.55742;1035.1;12.3;;;;;;;77.10;47.5;2314214122000;29230;1.5;1.0;122.7;1.0;1.5;0.0
18h21m27s;48.35924;-4.55742;1035.9;12.3;;;;;;;78.20;48.5;2315255759000;29484;1.5;1.0;121.8;1.0;1.5;0.0
18h21m27s;48.35924;-4.55742;1035.8;12.4;;;;;;;77.65;48.6;2315380758000;29484;1.5;1.0;121.7;1.0;1.5;0.0
18h21m28s;48.35924;-4.55742;1035.3;12.3;;;;;;;78.20;49.7;2316464060000;29484;1.5;1.0;123.7;1.0;1.5;0.0
18h21m29s;48.35923;-4.55742;1035.5;12.3;;;;;;;77.65;50.8;2317505695000;29484;1.5;1.0;123.9;1.0;1.5;0.0
18h21m30s;48.35923;-4.55742;1035.2;12.3;;;;;;;78.20;51.8;2318547336000;29484;1.5;1.0;123.3;1.0;1.5;0.0
18h21m31s;48.35923;-4.55741;1034.8;12.3;;;;;;;77.10;52.8;2319588972000;29484;1.5;1.0;123.9;1.0;1.5;0.0
18h21m32s;48.35923;-4.55741;1035.6;12.3;;;;;;;78.20;53.9;2320630609000;29484;1.5;1.0;126.2;1.0;1.5;0.0
18h21m33s;48.35923;-4.55741;1035.1;12.3;;;;;;;76.55;54.9;2321672248000;29484;1.5;1.0;122.9;1.0;1.5;0.0
18h21m34s;48.35923;-4.55741;1035.4;12.4;;;;;;;77.65;56.0;2322713885000;29781;1.5;1.0;120.2;1.0;1.5;0.0
18h21m35s;48.35923;-4.55741;1035.4;12.4;;;;;;;77.10;57.0;2323755523000;29781;1.5;1.0;124.3;1.0;1.5;0.0
18h21m36s;48.35923;-4.55741;1035.2;12.4;;;;;;;77.10;58.1;2324797159000;29230;1.5;1.0;128.4;1.0;1.5;0.0
18h21m37s;48.35923;-4.55741;1035.5;12.4;;;;;;;77.10;58.2;2324922155000;29230;1.5;1.0;128.3;1.0;1.5;0.0
18h21m38s;48.35924;-4.55741;1034.9;12.4;;;;;;;78.75;59.2;2325963793000;24121;1.5;1.0;210.1;1.0;1.5;0.0
18h21m39s;48.35924;-4.55741;1035.2;12.4;;;;;;;77.10;60.3;2327047096000;17388;1.5;1.0;453.3;1.0;1.5;0.0
18h21m40s;48.35924;-4.55741;1035.1;12.4;;;;;;;78.20;61.3;2328088733000;12208;1.5;1.0;502.2;1.0;1.5;0.0
18h21m41s;48.35924;-4.55741;1035.2;12.4;;;;;;;77.10;62.4;2329130371000;14156;1.5;1.0;351.0;1.0;1.5;0.0
18h21m42s;48.35924;-4.55741;1035.4;12.4;;;;;;;79.30;63.4;2330172007000;8496;1.0;1.0;662.9;1.0;1.5;0.0
18h21m43s;48.35924;-4.55741;1035.4;12.4;;;;;;;79.30;64.5;2331213645000;9992;1.2;1.0;471.1;1.0;1.5;0.0
18h21m44s;48.35924;-4.55741;1035.2;12.4;;;;;;;80.40;65.5;2332255284000;13761;1.5;1.0;220.5;1.0;1.5;0.0
18h21m45s;48.35924;-4.55741;1035.6;12.4;;;;;;;80.40;66.6;2333296922000;21919;1.5;1.0;163.8;1.0;1.5;0.0
18h21m46s;48.35924;-4.55741;1035.5;12.4;;;;;;;77.65;67.6;2334338557000;23937;1.5;1.0;145.7;1.0;1.5;0.0
18h21m48s;48.35924;-4.55741;1053.4;12.3;;;;;;;79.30;69.6;2336338502000;41354;15.5;1.0;20.8;2.5;2.7;0.0
18h21m49s;48.35924;-4.55741;1052.6;12.2;;;;;;;78.20;70.6;2337380140000;41354;15.5;1.0;20.3;2.5;2.7;0.0
18h21m50s;48.35923;-4.55741;1047.3;12.0;;;;;;;78.20;71.7;2338421777000;41354;14.8;1.0;21.2;2.5;2.7;0.0
18h21m51s;48.35923;-4.55741;1047.8;12.0;;;;;;;79.85;72.7;2339463416000;41354;12.3;1.0;22.5;2.5;2.7;0.0
18h21m52s;48.35923;-4.55741;1046.0;11.9;;;;;;;79.85;73.8;2340505057000;41354;14.4;1.0;21.1;2.5;2.7;0.0
18h21m53s;48.35923;-4.55741;1047.0;11.8;;;;;;;79.85;74.8;2341546692000;41354;11.1;1.0;23.3;2.5;2.7;0.0
18h21m54s;48.35923;-4.55741;1058.7;11.7;;;;;;;77.65;75.8;2342588329000;41354;7.1;1.0;27.4;2.5;2.7;0.0
18h21m55s;;;1087.5;11.6;;;;;;;79.30;76.9;2343629965000;41354;6.9;1.0;26.5;2.5;2.7;0.0
18h21m56s;;;1109.2;11.5;;;;;;;79.30;77.9;2344671604000;41354;7.6;1.0;24.9;2.5;2.7;0.0
18h21m57s;;;1111.3;11.5;;;;;;;79.85;79.0;2345713242000;41354;8.6;1.0;24.1;2.5;2.7;0.0
18h21m59s;;;1114.0;11.3;;;;;;;80.40;80.4;2347213198000;41354;6.2;1.0;30.2;3.3;2.9;0.0
18h22m00s;;;1137.3;11.3;;;;;;;78.20;81.5;2348254836000;41354;5.9;1.0;31.5;3.3;2.9;0.0
18h22m01s;;;1156.9;11.2;;;;;;;78.20;82.5;2349296473000;41354;5.8;1.0;31.8;3.3;2.9;0.0
18h22m02s;;;1154.4;11.1;;;;;;;78.20;83.6;2350338111000;41354;5.4;1.0;35.1;3.3;2.9;0.0
18h22m03s;;;1157.2;11.0;;;;;;;78.75;84.6;2351379751000;41354;5.0;1.0;37.2;3.3;2.9;0.0
18h22m04s;;;1167.5;11.0;;;;;;;78.20;85.7;2352421386000;41354;4.8;1.0;38.9;3.3;2.9;0.0
18h22m05s;;;1165.5;10.9;;;;;;;78.20;86.7;2353463025000;41354;4.6;1.0;39.6;3.3;2.9;0.0
18h22m06s;;;1169.7;10.9;;;;;;;78.20;87.8;2354504673000;41354;4.7;1.0;37.9;3.3;2.9;0.0
18h22m07s;;;1175.7;10.8;;;;;;;77.10;88.8;2355546302000;41354;5.0;1.0;36.0;3.3;2.9;0.0
18h22m08s;;;1186.1;10.8;;;;;;;79.85;89.8;2356587940000;41354;5.3;1.0;29.6;3.3;2.9;0.0
18h22m08s;;;1187.7;10.8;;;;;;;79.30;90.0;2356754601000;41354;5.4;1.0;27.5;3.3;2.9;0.0
18h22m09s;;;1192.9;10.7;;;;;;;78.20;91.0;2357796237000;41354;7.7;1.0;20.8;3.3;2.9;0.0
18h22m10s;;;1191.7;10.7;;;;;;;79.85;92.1;2358837876000;41354;7.6;1.0;23.4;3.3;2.9;0.0
18h22m11s;;;1191.9;10.7;;;;;;;80.40;93.1;2359879512000;41354;7.0;1.0;23.4;3.3;2.9;0.0
18h22m13s;;;1191.2;10.6;;;;;;;78.20;94.2;2360921151000;41354;6.2;1.0;26.6;3.3;2.9;0.0
18h22m14s;;;1192.9;10.6;;;;;;;79.85;95.2;2361962789000;41354;7.4;1.0;21.1;3.3;2.9;0.0
18h22m15s;;;1193.2;10.6;;;;;;;79.85;96.3;2363004426000;41354;8.6;1.0;19.9;3.3;2.9;0.0
18h22m16s;;;1193.3;10.6;;;;;;;79.30;97.3;2364046063000;41354;8.6;1.0;19.9;3.3;2.9;0.0
18h22m17s;;;1193.2;10.6;;;;;;;78.75;98.3;2365087703000;41354;8.6;1.0;19.9;3.3;2.9;0.0
18h22m18s;;;1193.7;10.5;;;;;;;77.65;99.4;2366129338000;41354;8.6;1.0;19.7;3.3;2.9;0.0
18h22m18s;;;1193.7;10.5;;;;;;;78.20;100.0;2366712656000;41354;8.8;1.0;19.2;3.1;2.8;0.0
18h22m19s;;;1193.9;10.5;;;;;;;78.20;101.0;2367754294000;41354;9.1;1.0;18.6;3.1;2.8;0.0
18h22m20s;;;1193.5;10.5;;;;;;;79.30;102.1;2368795931000;41354;9.8;1.0;17.4;3.1;2.8;0.0
18h22m21s;;;1193.4;10.5;;;;;;;78.75;103.1;2369837569000;41354;10.8;1.0;15.8;3.1;2.8;0.0
18h22m22s;;;1193.4;10.5;;;;;;;78.20;104.1;2370879207000;41354;12.6;1.0;13.4;3.1;2.8;0.0
18h22m24s;;;1193.8;10.5;;;;;;;78.75;105.2;2371962510000;41354;15.5;1.0;10.5;3.1;2.8;0.0
18h22m25s;;;1193.6;10.5;;;;;;;78.75;106.2;2373004147000;41354;15.5;1.0;7.4;3.1;2.8;0.0
18h22m26s;;;1193.2;10.5;;;;;;;78.75;107.3;2374045784000;41354;15.5;1.0;7.8;3.1;2.8;0.0
18h22m27s;;;1193.4;10.5;;;;;;;78.20;108.3;2375087423000;41354;15.5;1.0;8.5;3.1;2.8;0.0
18h22m28s;;;1193.7;10.5;;;;;;;78.75;109.4;2376129060000;41354;15.5;1.0;8.3;3.1;2.8;0.0
18h22m29s;;;1193.6;10.5;;;;;;;79.30;110.4;2377212363000;41354;15.5;1.0;7.8;2.2;2.7;0.0
18h22m30s;;;1193.0;10.5;;;;;;;79.85;111.5;2378254002000;41354;15.5;1.0;7.6;2.2;2.7;0.0
18h22m31s;;;1193.3;10.5;;;;;;;78.20;112.5;2379295639000;41354;15.5;1.0;6.8;2.2;2.7;0.0
